         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.002    0.000    0.005    0.000 enum.py:124(__new__)
    308/4    0.002    0.000    0.604    0.151 <frozen importlib._bootstrap>:641(_load_unlocked)
4076/4072    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
       24    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     2657    0.002    0.000    0.003    0.000 weakref.py:334(__new__)
      311    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     3289    0.002    0.000    0.018    0.000 _methods.py:40(_all)
      190    0.002    0.000    0.012    0.000 backend_agg.py:269(_get_agg_font)
      322    0.002    0.000    0.006    0.000 backend_bases.py:786(__init__)
       24    0.002    0.000    0.052    0.002 ticker.py:1741(_raw_ticks)
      890    0.002    0.000    0.009    0.000 font_manager.py:970(_normalize_font_family)
      865    0.002    0.000    0.005    0.000 enum.py:801(__and__)
     1972    0.002    0.000    0.007    0.000 re.py:169(match)
     1258    0.002    0.000    0.004    0.000 lines.py:68(_scale_dashes)
      797    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      588    0.002    0.000    0.002    0.000 cbook.py:747(is_numlike)
       64    0.002    0.000    0.007    0.000 colors.py:663(from_list)
     1138    0.002    0.000    0.004    0.000 abc.py:178(__instancecheck__)
      354    0.002    0.000    0.004    0.000 colors.py:151(_to_rgba_no_colorcycle)
       31    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      424    0.002    0.000    0.024    0.000 transforms.py:1315(transform)
     2707    0.002    0.000    0.002    0.000 _weakrefset.py:16(__init__)
     2486    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      501    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      828    0.002    0.000    0.020    0.000 transforms.py:2471(composite_transform_factory)
     6289    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      401    0.002    0.000    0.002    0.000 font_manager.py:885(set_size)
        1    0.002    0.002    0.002    0.002 {built-in method _pickle.load}
     1928    0.002    0.000    0.002    0.000 enum.py:515(__new__)
      644    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
1705/1022    0.002    0.000    0.002    0.000 transforms.py:2353(_get_is_affine)
    321/4    0.002    0.000    0.605    0.151 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
       37    0.002    0.000    0.002    0.000 {built-in method io.open}
      320    0.002    0.000    0.002    0.000 {method 'round' of 'numpy.generic' objects}
       90    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
     4617    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
2941/2275    0.002    0.000    0.005    0.000 {built-in method builtins.hash}
  601/301    0.002    0.000    0.002    0.000 sre_parse.py:173(getwidth)
      501    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:102(release)
      501    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:77(acquire)
     1667    0.001    0.000    0.002    0.000 weakref.py:109(remove)
      180    0.001    0.000    0.004    0.000 axis.py:590(update_position)
       24    0.001    0.000    0.177    0.007 axis.py:961(_update_ticks)
     5764    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      128    0.001    0.000    0.002    0.000 cbook.py:1401(popall)
     3102    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
     1045    0.001    0.000    0.005    0.000 artist.py:341(set_transform)
      629    0.001    0.000    0.003    0.000 lines.py:39(_get_dash_pattern)
      720    0.001    0.000    0.078    0.000 markers.py:163(__init__)
      164    0.001    0.000    0.004    0.000 axis.py:455(update_position)
     2650    0.001    0.000    0.003    0.000 sre_parse.py:253(get)
      397    0.001    0.000    0.002    0.000 font_manager.py:867(set_stretch)
     3618    0.001    0.000    0.010    0.000 _methods.py:37(_any)
      468    0.001    0.000    0.004    0.000 text.py:238(update)
      296    0.001    0.000    0.006    0.000 text.py:901(get_prop_tup)
      299    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      376    0.001    0.000    0.025    0.000 transforms.py:1411(transform_point)
      480    0.001    0.000    0.003    0.000 text.py:887(get_unitless_position)
      588    0.001    0.000    0.003    0.000 lines.py:1039(set_linewidth)
      131    0.001    0.000    0.003    0.000 transforms.py:1910(rotate)
      380    0.001    0.000    0.009    0.000 transforms.py:2648(__init__)
     1865    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1941    0.001    0.000    0.008    0.000 enum.py:265(__call__)
     1331    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      588    0.001    0.000    0.002    0.000 lines.py:1222(set_markersize)
